subject,assessment,state,impact,likelihood,category
People Risks,Occupational Health,REPORTED,EXTREME,REMOTE,PEOPLE
People Risks,Radiation,REPORTED,EXTREME,REMOTE,PEOPLE
Operational Risks,Lack of clarity of service requirements,REPORTED,MODERATE,UNLIKELY,OPERATİONAL
Operational Risks,Inadequate infrastructure to provide required operational services,REPORTED,MAJOR,UNLIKELY,OPERATİONAL
Operational Risks,Inadequate or inappropriate people available to support the required service provision,REPORTED,MODERATE,REMOTE,OPERATİONAL
Operational Risks,Inappropriate contract in place and or inadequate contract management to support the required level of service provision,REPORTED,MODERATE,REMOTE,OPERATİONAL
Operational Risks,"Changing requirements, enabled in an uncontrolled way",REPORTED,MODERATE,UNLIKELY,OPERATİONAL
Operational Risks,"Products passed to operational teams without due consideration to implementation, handover, subsequent maintenance and decommissioning",REPORTED,MODERATE,UNLIKELY,OPERATİONAL
Operational Risks,Unexpected or inappropriate expectations of service users,REPORTED,MODERATE,REMOTE,OPERATİONAL
Operational Risks,Lack or inadequacy of business continuity or contingency measures with regard to maintaining critical business services,REPORTED,EXTREME,REMOTE,OPERATİONAL
Operational Risks,Failing to meet legal or contractual obligations,REPORTED,MAJOR,UNLIKELY,OPERATİONAL
